function_name,file_path,line_number,context,type
room,./logistay/accommodation_management/doctype/employee_accommodation_assignment/employee_accommodation_assignment.py,32,		# Count existing active assignments for this room (excluding current if updating),missing
capacity,./logistay/accommodation_management/doctype/employee_accommodation_assignment/employee_accommodation_assignment.py,47,"			frappe.throw(f""Room {self.room} is at full capacity ({room_capacity} employees)"")",missing
AssetLog,./logistay/accommodation_management/doctype/asset_log/asset_log.py,8,class AssetLog(Document):,missing
AccommodationInspection,./logistay/accommodation_management/doctype/accommodation_inspection/accommodation_inspection.py,9,class AccommodationInspection(Document):,missing
Accommodation,./logistay/accommodation_management/doctype/accommodation/accommodation.py,8,class Accommodation(Document):,missing
InspectionChecklistItem,./logistay/fleet_management/doctype/inspection_checklist_item/inspection_checklist_item.py,8,class InspectionChecklistItem(Document):,missing
FleetAccessLog,./logistay/fleet_management/doctype/fleet_access_log/fleet_access_log.py,12,class FleetAccessLog(Document):,missing
get_single_value,./logistay/fleet_management/doctype/fleet_access_log/fleet_access_log.py,56,"            retention_days = frappe.db.get_single_value(""Fleet Settings"", ""access_log_retention_days"") or 90",missing
patterns,./logistay/fleet_management/doctype/fleet_access_log/fleet_access_log.py,185,        # Check for unusual access patterns (access outside normal hours),missing
HOUR,./logistay/fleet_management/doctype/fleet_access_log/fleet_access_log.py,190,            AND (HOUR(timestamp) < 6 OR HOUR(timestamp) > 22),missing
HOUR,./logistay/fleet_management/doctype/fleet_access_log/fleet_access_log.py,190,            AND (HOUR(timestamp) < 6 OR HOUR(timestamp) > 22),missing
FleetCity,./logistay/fleet_management/doctype/fleet_city/fleet_city.py,7,class FleetCity(Document):,missing
FleetBranch,./logistay/fleet_management/doctype/fleet_branch/fleet_branch.py,8,class FleetBranch(Document):,missing
and,./logistay/fleet_management/doctype/fleet_branch/fleet_branch.py,16,		if self.lat and (self.lat < -90 or self.lat > 90):,missing
and,./logistay/fleet_management/doctype/fleet_branch/fleet_branch.py,19,		if self.lng and (self.lng < -180 or self.lng > 180):,missing
MaintenanceEntry,./logistay/fleet_management/doctype/maintenance_entry/maintenance_entry.py,8,class MaintenanceEntry(Document):,missing
FleetProject,./logistay/fleet_management/doctype/fleet_project/fleet_project.py,8,class FleetProject(Document):,missing
FleetDriver,./logistay/fleet_management/doctype/fleet_driver/fleet_driver.py,4,class FleetDriver(Document):,missing
is_new,./logistay/fleet_management/doctype/fleet_driver/fleet_driver.py,6,        if self.is_new():,missing
is_new,./logistay/fleet_management/doctype/fleet_vehicle/fleet_vehicle.py,6,        if self.is_new():,missing
VehicleOwnership,./logistay/fleet_management/doctype/vehicle_ownership/vehicle_ownership.py,9,class VehicleOwnership(Document):,missing
FleetShift,./logistay/fleet_management/doctype/fleet_shift/fleet_shift.py,8,class FleetShift(Document):,missing
DriverVehicleAssignment,./logistay/fleet_management/doctype/driver_vehicle_assignment/driver_vehicle_assignment.py,10,class DriverVehicleAssignment(Document):,missing
conflicts,./logistay/fleet_management/doctype/driver_vehicle_assignment/driver_vehicle_assignment.py,69,        # Check for primary role conflicts (only one primary driver per vehicle at a time),missing
driver,./logistay/fleet_management/doctype/driver_vehicle_assignment/driver_vehicle_assignment.py,91,"                frappe.throw(_(""Vehicle {0} already has a Primary driver ({1}) assigned from {2} to {3}"").format(",missing
compatibility,./logistay/fleet_management/doctype/driver_vehicle_assignment/driver_vehicle_assignment.py,116,        # Check license category compatibility (if available),missing
FuelEntry,./logistay/fleet_management/doctype/fuel_entry/fuel_entry.py,9,class FuelEntry(Document):,missing
quantity,./logistay/fleet_management/doctype/fuel_entry/fuel_entry.py,52,        # Validate reasonable fuel quantity (not more than tank capacity),missing
get_cached_value,./logistay/fleet_management/doctype/fuel_entry/fuel_entry.py,86,"            self.currency = frappe.get_cached_value(""Company"", frappe.defaults.get_user_default(""Company""), ""default_currency"")",missing
get_cached_value,./logistay/fleet_management/doctype/supplier_contract/supplier_contract.py,76,"            self.currency = frappe.get_cached_value(""Company"", frappe.defaults.get_user_default(""Company""), ""default_currency"")",missing
get_user_default,./logistay/fleet_management/doctype/fuel_entry/fuel_entry.py,86,"            self.currency = frappe.get_cached_value(""Company"", frappe.defaults.get_user_default(""Company""), ""default_currency"")",missing
get_user_default,./logistay/fleet_management/doctype/supplier_contract/supplier_contract.py,76,"            self.currency = frappe.get_cached_value(""Company"", frappe.defaults.get_user_default(""Company""), ""default_currency"")",missing
CostCalculationEngine,./logistay/fleet_management/doctype/cost_calculation_engine/cost_calculation_engine.py,10,class CostCalculationEngine(Document):,missing
SupplierMaster,./logistay/fleet_management/doctype/supplier_master/supplier_master.py,9,class SupplierMaster(Document):,missing
has_value_changed,./logistay/fleet_management/doctype/supplier_master/supplier_master.py,67,        if self.has_value_changed('status'):,missing
has_value_changed,./logistay/fleet_management/doctype/supplier_contract/supplier_contract.py,101,        if self.has_value_changed('status'):,missing
SupplierContract,./logistay/fleet_management/doctype/supplier_contract/supplier_contract.py,10,class SupplierContract(Document):,missing
FleetVehicle,./logistay/fleet_management/doctype/fleet_vehicle/fleet_vehicle.py,4,class FleetVehicle(Document):,missing
tasks,./logistay/api/driver.py,45,        # Get pending tasks (trips with status 'Assigned' or 'In Progress'),missing
get_first_day_of_month,./logistay/api/driver.py,56,"            ""fuel_date"": ["">="", get_first_day_of_month(getdate())],",missing
activity,./logistay/api/driver.py,60,        # Get recent activity (last 5 trips),missing
perform,./logistay/api/driver.py,164,"        action: Action to perform (accept, start, pause, complete)",missing
submit,./logistay/api/driver.py,217,            trip.submit(),missing
submit,./logistay/api/driver.py,294,        fuel_entry.submit(),missing
name,./logistay/api/driver.py,239,        vendor: Vendor/station name (optional),missing
URL,./logistay/api/driver.py,240,        receipt_attachment: Receipt file URL (optional),missing
URL,./logistay/api/driver.py,474,        attachment: File attachment URL (optional),missing
check_password,./logistay/api/driver.py,447,"        if not check_password(user, current_password):",missing
update_password,./logistay/api/driver.py,456,"        update_password(user, new_password)",missing
document,./logistay/api/driver.py,486,        # Create Issue document (standard Frappe DocType for support tickets),missing
